,kind,etag,id,snippet_videoId,snippet_topLevelComment_kind,snippet_topLevelComment_etag,snippet_topLevelComment_id,snippet_topLevelComment_snippet_videoId,snippet_topLevelComment_snippet_textDisplay,snippet_topLevelComment_snippet_textOriginal,snippet_topLevelComment_snippet_authorDisplayName,snippet_topLevelComment_snippet_authorProfileImageUrl,snippet_topLevelComment_snippet_authorChannelUrl,snippet_topLevelComment_snippet_authorChannelId_value,snippet_topLevelComment_snippet_canRate,snippet_topLevelComment_snippet_viewerRating,snippet_topLevelComment_snippet_likeCount,snippet_topLevelComment_snippet_publishedAt,snippet_topLevelComment_snippet_updatedAt,snippet_canReply,snippet_totalReplyCount,snippet_isPublic
9,youtube#commentThread,aGRDLvEhqxXeNibWKHil60pvs9o,UgwMTtNioiQXR4fs2jx4AaABAg,ziBgxehTBDI,youtube#comment,UPD8y9lwTxfZwPhvJg5JNWuBXGM,UgwMTtNioiQXR4fs2jx4AaABAg,ziBgxehTBDI,I think you do a beautiful job of showing how innovation and research are critical to the success of any nation. Wonderful video!,I think you do a beautiful job of showing how innovation and research are critical to the success of any nation. Wonderful video!,Nathan Seper,https://yt3.ggpht.com/ytc/AL5GRJU6gx4A57frYzlc8zBCz-20nO0Kr8B5lgLVyg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCYeGEji4uZQB7uR0CFO7ZyA,UCYeGEji4uZQB7uR0CFO7ZyA,True,none,3,2023-02-05T04:05:02Z,2023-02-05T04:05:02Z,True,0,True
10,youtube#commentThread,slG9ebz2obAs2lFNbkN7C3o1m74,Ugwbj8UUztsfZkYjpsB4AaABAg,ziBgxehTBDI,youtube#comment,EOkGkHQQlVyVrHzMh1zUDLQ14qk,Ugwbj8UUztsfZkYjpsB4AaABAg,ziBgxehTBDI,No GMO&#39;s are not necessary for feeding the entire planet. Stop spreading Monsanto propaganda.,No GMO's are not necessary for feeding the entire planet. Stop spreading Monsanto propaganda.,Lynott Parris,https://yt3.ggpht.com/ytc/AL5GRJXa4wc3H9dLVTNnKSShi0yFLWV5rkuBD0-WXg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCM3r_aDExFwa3e9o4Vhgsfg,UCM3r_aDExFwa3e9o4Vhgsfg,True,none,0,2023-02-04T21:26:05Z,2023-02-04T21:26:05Z,True,0,True
11,youtube#commentThread,urLltk723Irizi56ryx1hnyVq2A,UgyMz5Ecq7rD11xR0XB4AaABAg,ziBgxehTBDI,youtube#comment,wzo6wEbIE1eQHEc2d-SsvSyIT5U,UgyMz5Ecq7rD11xR0XB4AaABAg,ziBgxehTBDI,Nice,Nice,Agriculture students1 ,https://yt3.ggpht.com/oK0PuQqvkxUaMmMeZNmvghmN_APyLg489UeSGbSXLDPqHihKeq3jjuCHQDnrWvCe9nCFICWl=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCTFfAkf9ZXPOUGyrpFifx-g,UCTFfAkf9ZXPOUGyrpFifx-g,True,none,1,2023-02-04T08:24:40Z,2023-02-04T08:24:40Z,True,0,True
12,youtube#commentThread,JkveKzXi9v-BPRxYb6hBmnyRN24,UgzzuwN3zLyzLR8u18t4AaABAg,ziBgxehTBDI,youtube#comment,TzKtbGxpOGHhup-_TECiTwz_ies,UgzzuwN3zLyzLR8u18t4AaABAg,ziBgxehTBDI,Wont be for long anymore. Green radicals are exterminating the farmers and their ways. Let this be a warning for everyone. Be VERY critical when dealing with environmental extremists. They are very insidious and invade your politics like a disease. Before you know it everything is infected and the only way out is by force.,Wont be for long anymore. Green radicals are exterminating the farmers and their ways. Let this be a warning for everyone. Be VERY critical when dealing with environmental extremists. They are very insidious and invade your politics like a disease. Before you know it everything is infected and the only way out is by force.,Bergamo,https://yt3.ggpht.com/XiK2aFdwoBjonCtEgUcsr7CG8ebvilRmr712iOXMuIsR7X-P0hOErvn1WO49e1N_kqF1ZVEblq8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC4f4BNscxLm5bQZJ7qN5Bfw,UC4f4BNscxLm5bQZJ7qN5Bfw,True,none,0,2023-02-04T05:49:41Z,2023-02-04T05:49:41Z,True,0,True
13,youtube#commentThread,vkdF0J8FlEHHfjzaCzEqhLc_rZ0,UgwJhLKES44M72CTaM14AaABAg,ziBgxehTBDI,youtube#comment,Rk5GiStT6glhGMIZ-XoYJJcozyE,UgwJhLKES44M72CTaM14AaABAg,ziBgxehTBDI,"Interesting... but as you can see in the comments, there is a lot of discussion going on about how to proceed.<br>We do import a lot of soy beans from the US and Brazil, corn from the US, wheat from Ukraine, not to eat, but as fodder for our pigs, chickens and cows.<br>Which means we get a lot of shit as well. And with it a lot of nitrogen based pollution. Which has effect on non agricultural areas (nature?).<br>With it we exceed the EU norms on nitrogen. But because of our dense population, we are close to that norm, even without agriculture.<br>We cannot built houses, roads, other infra, anymore without breaking EU norms.<br><br>There are several discussions going on.<br>Should the EU norms apply for the Netherlands? While the city of Paris cannot comply, but France has a lot of &#39;waste&#39; lands. Also the German Ruhrgebiet cannot comply, but Germany has a lot of non agricultural space as well. The Netherlands are in fact one big urban area that continues into Belgium and Germany. Why apply norms we impossibly can keep?<br>Should we return to more sustainable agriculture? By importing less fodder and finding a solution for the enormous amount of manure we produce, and thus limit the amount of nitrogen. By reducing the intensive livestock in areas close to nature.<br>What is nature? Every inch of the Netherlands has been used and abused by humans, in the past and present. Nothing is untouched. Even our nature reserves are man-made. Biesbosch is a man-made polder that flooded during a storm and was never reclaimed. Oostvaardersplassen is a man-made area in a man-made polder that has to be mechanically drained to exist, without pumps it would be water. Veluwe was once a forest, but we harvested too much trees for building and fire wood that the entire area became one big sand desert, during the recession we imported US Douglas pines and planted them in neat blocks and rows. It&#39;s a plantation, no forest.<br>The heath in the south was once forest, shopped and used, and heather was planted to feed the sheep. If we do not continue removing trees actively, it would return to forest. <br>So true nature doesn&#39;t exist anymore, we are its keepers and caretakers, if we leave them to Mother Nature, they would change and be boring forests. And we do not want that to happen.","Interesting... but as you can see in the comments, there is a lot of discussion going on about how to proceed.
We do import a lot of soy beans from the US and Brazil, corn from the US, wheat from Ukraine, not to eat, but as fodder for our pigs, chickens and cows.
Which means we get a lot of shit as well. And with it a lot of nitrogen based pollution. Which has effect on non agricultural areas (nature?).
With it we exceed the EU norms on nitrogen. But because of our dense population, we are close to that norm, even without agriculture.
We cannot built houses, roads, other infra, anymore without breaking EU norms.

There are several discussions going on.
Should the EU norms apply for the Netherlands? While the city of Paris cannot comply, but France has a lot of 'waste' lands. Also the German Ruhrgebiet cannot comply, but Germany has a lot of non agricultural space as well. The Netherlands are in fact one big urban area that continues into Belgium and Germany. Why apply norms we impossibly can keep?
Should we return to more sustainable agriculture? By importing less fodder and finding a solution for the enormous amount of manure we produce, and thus limit the amount of nitrogen. By reducing the intensive livestock in areas close to nature.
What is nature? Every inch of the Netherlands has been used and abused by humans, in the past and present. Nothing is untouched. Even our nature reserves are man-made. Biesbosch is a man-made polder that flooded during a storm and was never reclaimed. Oostvaardersplassen is a man-made area in a man-made polder that has to be mechanically drained to exist, without pumps it would be water. Veluwe was once a forest, but we harvested too much trees for building and fire wood that the entire area became one big sand desert, during the recession we imported US Douglas pines and planted them in neat blocks and rows. It's a plantation, no forest.
The heath in the south was once forest, shopped and used, and heather was planted to feed the sheep. If we do not continue removing trees actively, it would return to forest. 
So true nature doesn't exist anymore, we are its keepers and caretakers, if we leave them to Mother Nature, they would change and be boring forests. And we do not want that to happen.",Dutch Man,https://yt3.ggpht.com/ytc/AL5GRJV2VTlFBXw3rbicHzWBpoXvFw9iwwc1IgbNLw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCNH3a5KHT8RLMN4OjcwiuRg,UCNH3a5KHT8RLMN4OjcwiuRg,True,none,4,2023-02-03T21:48:11Z,2023-02-03T21:48:11Z,True,2,True
14,youtube#commentThread,zDxjR1DLs6LKCsRsPQ0Zm3ueMbU,Ugw7RWK4Z_yVQ23Qc7h4AaABAg,ziBgxehTBDI,youtube#comment,BUHIiF0FOtKb2t9whEasrIYqveU,Ugw7RWK4Z_yVQ23Qc7h4AaABAg,ziBgxehTBDI,Pesticides.,Pesticides.,Boston Rex,https://yt3.ggpht.com/ytc/AL5GRJWd-9CJdhcFWqEqEgFY4bpzK69bdViuycDTOlpEcfrjTDTkz9N22W8AYQO6OKmv=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCu9Szu3VUECfkmzR6ogfz6Q,UCu9Szu3VUECfkmzR6ogfz6Q,True,none,0,2023-02-03T21:22:08Z,2023-02-03T21:22:08Z,True,0,True
15,youtube#commentThread,tO8vWpf80r17S2wEVv9RIFlgVSE,UgwYjwM1-NQX6TtUOTN4AaABAg,ziBgxehTBDI,youtube#comment,SPv4Kfs8TiCJj6mGFZmt2pzP0cY,UgwYjwM1-NQX6TtUOTN4AaABAg,ziBgxehTBDI,"It&#39;s fine, this&#39;ll change soon enough if it&#39;s up to our &amp; EU politics who keep telling farmers a different story every 3 years. That fancy greenhouse with the WEF logo on the video goes just as much against the politicians&#39; climate goals as the goals WEF claims to set, with all the heating they require","It's fine, this'll change soon enough if it's up to our & EU politics who keep telling farmers a different story every 3 years. That fancy greenhouse with the WEF logo on the video goes just as much against the politicians' climate goals as the goals WEF claims to set, with all the heating they require",Stringsnthings,https://yt3.ggpht.com/dB_nOLG_AWIIbCt-BrFwkVcqScK3Higd6skE_xASxdykVWLWiDMaUpdx_iijVoK60DHbK1c01aM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC3Y-jegDwiQqCwuoVKk3Kyw,UC3Y-jegDwiQqCwuoVKk3Kyw,True,none,1,2023-02-03T19:51:02Z,2023-02-03T19:56:40Z,True,0,True
16,youtube#commentThread,wOndNsIR8hKTtrPpKACuQosyX_A,Ugx5w3cJlWV9YTB3lAZ4AaABAg,ziBgxehTBDI,youtube#comment,JUAjWgGVk9XgAjfdTDPVGiahqIE,Ugx5w3cJlWV9YTB3lAZ4AaABAg,ziBgxehTBDI,And it all comes at great costs for the environment and nature.,And it all comes at great costs for the environment and nature.,palantir135,https://yt3.ggpht.com/ytc/AL5GRJX7n2rk19h2_sz0WxT-pFMu0T1y47KFkzQy4NgCvg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCAeZF4wnN5ZbJw2Rj0MSMPQ,UCAeZF4wnN5ZbJw2Rj0MSMPQ,True,none,1,2023-02-03T18:55:59Z,2023-02-03T18:55:59Z,True,0,True
17,youtube#commentThread,BfrahNat5hbBcFMY6ipu0BCG0xs,UgzBo6rYer6Ww9lzQZB4AaABAg,ziBgxehTBDI,youtube#comment,o4AAqHKX735lPqFRD_7ADH8qcJU,UgzBo6rYer6Ww9lzQZB4AaABAg,ziBgxehTBDI,Can you do the geography of jasper national park 🥺,Can you do the geography of jasper national park 🥺,Emily Koscielny,https://yt3.ggpht.com/ytc/AL5GRJWodhNw7d9r2zosrj_vdfY7AM41yFtL2yF8fCMuLw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCTqJlbwipIrEldZyHS_09YQ,UCTqJlbwipIrEldZyHS_09YQ,True,none,0,2023-02-03T18:11:27Z,2023-02-03T18:11:27Z,True,2,True
18,youtube#commentThread,HvWHIxd1bsJLCLh3wyBMfiW-goc,UgwnISO1DLG7cp2NeFB4AaABAg,ziBgxehTBDI,youtube#comment,SCp14PXvBsGlnIpV8eHEpocSAUs,UgwnISO1DLG7cp2NeFB4AaABAg,ziBgxehTBDI,The farmers aren&#39;t happy with how the government has been treading upon them.,The farmers aren't happy with how the government has been treading upon them.,CuriousPonderings,https://yt3.ggpht.com/JH_45Wa6VaLObfwbelBi6RbwDzoKBEFnK0mgtCrTJ5kZCPK2Il7IV9P8bvHt2YHLvMSJ2yZBiw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCt5nO5TIl96oK4wo5bJ207g,UCt5nO5TIl96oK4wo5bJ207g,True,none,2,2023-02-03T17:20:04Z,2023-02-03T17:20:04Z,True,0,True
